dt,open,high,low,close,volume
2019-11-27 04:00:00+00:00,146.0,146.0,146.0,146.0,0.01
2019-11-27 08:00:00+00:00,125.03,146.92,125.03,146.58,11912.59
2019-11-27 12:00:00+00:00,146.53,151.64,145.73,150.65,34852.04
2019-11-27 16:00:00+00:00,150.72,155.5,148.33,153.87,35085.95
2019-11-27 20:00:00+00:00,153.84,155.66,152.03,152.52,34061.25
2019-11-28 00:00:00+00:00,154.29,156.52,146.41,152.03,8444.21
2019-11-28 04:00:00+00:00,151.93,153.02,150.18,151.98,21326.72
2019-11-28 08:00:00+00:00,152.04,152.76,149.63,151.43,21703.695
2019-11-28 12:00:00+00:00,151.43,154.51,149.95,153.78,21262.03
2019-11-28 16:00:00+00:00,153.78,153.95,152.46,153.5,21446.74
2019-11-28 20:00:00+00:00,153.54,154.0,148.88,150.48,22640.675
2019-11-29 00:00:00+00:00,150.56,152.67,150.55,152.15,17929.91
2019-11-29 04:00:00+00:00,152.15,152.68,150.89,152.51,20243.05
2019-11-29 08:00:00+00:00,152.51,155.13,152.06,153.26,24078.723
2019-11-29 12:00:00+00:00,153.26,156.93,151.09,156.65,40608.114
2019-11-29 16:00:00+00:00,156.7,157.4,153.92,154.09,33131.791
2019-11-29 20:00:00+00:00,154.1,154.93,152.09,154.41,31914.516
2019-11-30 00:00:00+00:00,154.4,155.15,153.08,153.88,46819.606
2019-11-30 04:00:00+00:00,153.82,154.83,152.68,154.64,54528.966
2019-11-30 08:00:00+00:00,154.65,154.8,152.54,152.68,73037.646
2019-11-30 12:00:00+00:00,152.66,153.51,150.38,151.46,66422.748
2019-11-30 16:00:00+00:00,151.46,152.49,149.66,150.5,69261.929
2019-11-30 20:00:00+00:00,150.5,152.15,150.08,151.38,60420.72
2019-12-01 00:00:00+00:00,151.38,151.38,145.7,147.09,69972.978
2019-12-01 04:00:00+00:00,147.05,148.64,146.39,146.79,62459.238
2019-12-01 08:00:00+00:00,146.77,148.28,145.5,147.2,68504.046
2019-12-01 12:00:00+00:00,147.21,152.5,147.21,149.41,65606.928
2019-12-01 16:00:00+00:00,149.49,150.55,148.98,150.06,59505.894
2019-12-01 20:00:00+00:00,150.06,152.0,149.54,150.65,68445.035
2019-12-02 00:00:00+00:00,150.72,151.3,149.64,149.85,60719.389
2019-12-02 04:00:00+00:00,149.98,150.52,146.67,148.31,68891.688
2019-12-02 08:00:00+00:00,148.31,150.18,147.15,148.84,62484.489
2019-12-02 12:00:00+00:00,148.88,149.54,147.16,148.35,67809.249
2019-12-02 16:00:00+00:00,148.36,148.79,146.83,147.49,63374.237
2019-12-02 20:00:00+00:00,147.51,149.42,147.35,148.59,72351.858
2019-12-03 00:00:00+00:00,148.59,149.8,148.3,149.15,85183.665
2019-12-03 04:00:00+00:00,149.11,149.45,148.0,148.33,119436.902
2019-12-03 08:00:00+00:00,148.33,148.85,145.62,146.82,87217.221
2019-12-03 12:00:00+00:00,146.77,148.88,146.62,148.14,95610.027
2019-12-03 16:00:00+00:00,148.11,148.5,147.51,147.66,51040.978
2019-12-03 20:00:00+00:00,147.7,148.0,146.99,147.1,57507.78
2019-12-04 00:00:00+00:00,147.12,147.16,143.03,144.57,103644.445
2019-12-04 04:00:00+00:00,144.5,144.74,142.96,144.02,57520.973
2019-12-04 08:00:00+00:00,144.07,146.4,143.3,145.49,94011.699
2019-12-04 12:00:00+00:00,145.45,152.22,145.45,149.01,170737.794
2019-12-04 16:00:00+00:00,149.0,149.65,148.88,149.62,59972.291
2019-12-04 20:00:00+00:00,149.62,149.93,144.25,145.35,198517.615
2019-12-05 00:00:00+00:00,145.36,145.97,143.77,144.91,67895.9
2019-12-05 04:00:00+00:00,144.93,146.58,143.81,145.61,92662.726
2019-12-05 08:00:00+00:00,145.63,146.96,145.31,146.48,67177.274
2019-12-05 12:00:00+00:00,146.48,148.88,146.48,146.97,88882.381
2019-12-05 16:00:00+00:00,147.0,147.91,146.34,147.56,71921.75
2019-12-05 20:00:00+00:00,147.56,148.53,147.35,148.04,52573.881
2019-12-06 00:00:00+00:00,148.08,148.28,146.82,147.23,48952.954
2019-12-06 04:00:00+00:00,147.26,147.79,146.97,147.67,33243.536
2019-12-06 08:00:00+00:00,147.67,147.72,145.66,146.39,62724.268
2019-12-06 12:00:00+00:00,146.32,147.69,146.12,147.13,46611.347
2019-12-06 16:00:00+00:00,147.13,149.5,146.84,148.04,103619.596
2019-12-06 20:00:00+00:00,148.07,148.77,147.7,148.41,39493.516
2019-12-07 00:00:00+00:00,148.41,148.9,148.0,148.32,36108.102
2019-12-07 04:00:00+00:00,148.31,149.42,148.31,148.44,35016.305
2019-12-07 08:00:00+00:00,148.43,148.66,146.99,147.88,42195.69
2019-12-07 12:00:00+00:00,147.88,148.5,147.41,148.2,45846.474
2019-12-07 16:00:00+00:00,148.18,148.31,147.32,147.81,42597.06
2019-12-07 20:00:00+00:00,147.81,147.81,146.77,147.1,37421.679
2019-12-08 00:00:00+00:00,147.08,147.53,146.01,146.65,42107.78
2019-12-08 04:00:00+00:00,146.66,147.23,146.32,146.94,23726.182
2019-12-08 08:00:00+00:00,146.96,148.69,146.79,147.99,45460.133
2019-12-08 12:00:00+00:00,148.0,156.25,147.73,150.62,73518.946
2019-12-08 16:00:00+00:00,150.62,151.5,149.85,150.37,47037.723
2019-12-08 20:00:00+00:00,150.37,151.31,150.11,150.41,28760.106
2019-12-09 00:00:00+00:00,150.41,150.97,149.41,150.31,37333.408
2019-12-09 04:00:00+00:00,150.3,150.73,149.08,149.31,37253.315
2019-12-09 08:00:00+00:00,149.3,149.69,148.59,149.12,35794.712
2019-12-09 12:00:00+00:00,149.14,151.15,146.55,147.85,90869.805
